Data,Polaridade,Subjetividade,qtde
20150622,4.12984126984127,17.26396825396825,10
20150623,0.5,4.666666666666666,4
20150624,4.582142857142857,13.17142857142857,8
20150625,0.0,12.0,12
20150626,2.3499999999999996,8.3,6
20150629,0.6000000000000001,9.3,8
20150630,1.0571428571428572,8.371428571428572,6
20150701,1.2279761904761908,6.3769841269841265,4
20150702,2.0,7.9,6
20150703,2.0454545454545454,9.283333333333333,6
20150706,0.0,4.0,4
20150707,0.1,4.9,4
20150708,2.0999999999999996,7.025,4
20150709,1.1625,13.13888888888889,8
20150710,0.2,4.8,4
20150713,2.0,4.6,4
20150714,1.692099567099567,10.779220779220779,8
20150715,0.8,5.8,4
20150716,0.7142857142857144,7.142857142857142,6
20150717,0.7555555555555556,5.444444444444445,4
20150720,2.0,9.0,6
20150721,2.272727272727273,12.90909090909091,8
20150722,0.0,4.133333333333333,4
20150723,0.0,4.0,4
20150724,0.0,5.0,4
20150727,1.75,5.666666666666666,4
20150728,1.0,5.0,4
20150729,0.0,4.0,4
20150730,0.0,4.0,4
20150731,1.04,6.0,4
20150803,1.0,5.2,4
20150804,0.0,4.0,4
20150805,1.6704545454545454,12.387878787878789,8
20150806,1.0,5.2,4
20150807,2.0,6.0,4
20150809,2.0,4.0,2
20150810,3.05,10.938888888888888,6
20150811,0.8,4.85,4
20150812,1.7142857142857144,9.142857142857142,6
20150813,0.0,4.0,4
20150814,-0.13333333333333336,4.683333333333334,4
20150817,0.25,5.125,4
20150818,2.6217532467532467,9.262987012987013,6
20150819,0.5,4.5,4
20150820,1.6,7.65,4
20150821,1.0113636363636362,7.054545454545455,6
20150824,1.692857142857143,8.942857142857143,6
20150825,0.0,4.133333333333333,4
20150826,-0.11363636363636365,4.837878787878788,4
20150827,-0.017045454545454558,7.154545454545455,6
20150828,1.8,8.6,6
20150831,0.5,6.6,6
20150901,1.5863636363636364,6.754545454545454,4
20150902,1.075,5.6,4
20150903,0.0,6.0,6
20150904,2.3613636363636363,12.454545454545455,8
20150905,1.0,3.2,2
20150906,1.0,3.0,2
20150907,0.5,2.6666666666666665,2
20150908,0.13636363636363635,4.454545454545455,4
20150909,2.3,6.6,4
20150910,1.15,7.699999999999999,6
20150911,1.2,5.8,4
20150914,0.3409090909090908,4.909090909090909,4
20150915,4.015842490842491,15.858791208791208,10
20150916,0.5,5.0,4
20150917,0.0,4.0,4
20150918,1.5,5.7,4
20150919,1.0,5.0,4
20150921,-0.21666666666666654,7.466666666666665,6
20150922,1.95,12.200000000000001,8
20150923,1.5571428571428572,9.838095238095239,8
20150924,0.9863636363636364,8.454545454545455,6
20150925,0.65,5.5,4
20150928,0.0,2.0,2
20150929,2.3,8.866666666666667,6
20150930,1.5,8.0,4
20151001,1.6666666666666665,8.266666666666666,6
20151002,0.0,6.0,6
20151003,0.0,3.0,2
20151005,1.45,5.8,4
20151006,0.0,4.0,4
20151007,0.0,6.0,4
20151008,0.4,5.6,4
20151009,3.75,10.9,6
20151010,0.0,2.0,2
20151011,0.0,2.0,2
20151012,3.6,7.9,4
20151013,0.8,5.4,4
20151014,0.6666666666666666,5.333333333333333,4
20151015,0.8663780663780665,6.001154401154402,4
20151016,-0.2,4.2,4
20151019,2.025,11.200000000000001,8
20151020,3.3863636363636362,10.554545454545455,6
20151021,1.2000000000000002,14.525000000000002,10
20151022,2.5,12.766666666666666,10
20151023,0.35714285714285715,7.671428571428571,6
20151026,3.0863636363636364,10.454545454545455,6
20151027,0.75,5.6,4
20151028,0.42499999999999993,5.566666666666666,4
20151029,0.3,5.333333333333334,4
20151030,1.0,9.2,6
20151102,0.6477272727272729,6.059090909090909,4
20151103,0.37272727272727285,13.50909090909091,10
20151104,0.11590909090909102,8.69659090909091,6
20151105,0.12857142857142856,6.285714285714286,4
20151106,0.7785714285714286,16.892857142857142,14
20151108,-1.1625,21.670833333333334,16
20151109,0.4,8.8,6
20151110,1.25,12.966666666666667,10
20151111,0.7,36.766666666666666,26
20151112,0.0,8.666666666666666,8
20151113,1.225,17.866666666666667,12
20151114,10.469047619047618,261.52619047619066,192
20151115,9.099999999999998,201.10000000000005,142
20151116,6.219444444444445,113.76388888888886,84
20151117,0.8,20.8,20
20151118,5.500000000000001,30.7,22
20151120,1.0666666666666667,9.733333333333334,8
20151122,1.0,7.0,6
20151123,1.0,19.333333333333336,18
20151124,1.97939393939394,21.493333333333332,18
